직무 상위 코드,직무명,직무 코드,직무 키워드명
2,IT개발·데이터,2234,스마트컨트랙트
2,IT개발·데이터,2232,풀스택
2,IT개발·데이터,2230,헬스케어
2,IT개발·데이터,2229,SQA
2,IT개발·데이터,2233,Solidity
2,IT개발·데이터,2231,메타버스
2,IT개발·데이터,184,.NET
2,IT개발·데이터,80,게임개발
2,IT개발·데이터,103,검색엔진
2,IT개발·데이터,104,네트워크
2,IT개발·데이터,185,그누보드
2,IT개발·데이터,81,기술지원
2,IT개발·데이터,186,라즈베리파이
2,IT개발·데이터,82,데이터분석가
2,IT개발·데이터,105,데이터라벨링
2,IT개발·데이터,106,데이터마이닝
2,IT개발·데이터,187,쉘스크립트
2,IT개발·데이터,83,데이터엔지니어
2,IT개발·데이터,188,액션스크립트
2,IT개발·데이터,84,백엔드/서버개발
2,IT개발·데이터,107,데이터시각화
2,IT개발·데이터,108,딥러닝
2,IT개발·데이터,189,어셈블리
2,IT개발·데이터,85,보안컨설팅
2,IT개발·데이터,86,앱개발
2,IT개발·데이터,109,머신러닝
2,IT개발·데이터,190,와이어샤크
2,IT개발·데이터,110,모델링
2,IT개발·데이터,191,파워빌더
2,IT개발·데이터,87,웹개발
2,IT개발·데이터,111,모의해킹
2,IT개발·데이터,192,ABAP
2,IT개발·데이터,88,웹마스터
2,IT개발·데이터,193,AIX
2,IT개발·데이터,89,유지보수
2,IT개발·데이터,112,미들웨어
2,IT개발·데이터,113,반응형웹
2,IT개발·데이터,194,Ajax
2,IT개발·데이터,90,정보보안
2,IT개발·데이터,195,Android
2,IT개발·데이터,91,퍼블리셔
2,IT개발·데이터,114,방화벽
2,IT개발·데이터,115,블록체인
2,IT개발·데이터,196,Angular
2,IT개발·데이터,92,프론트엔드
2,IT개발·데이터,93,CISO
2,IT개발·데이터,116,빅데이터
2,IT개발·데이터,197,Apache
2,IT개발·데이터,117,빌링
2,IT개발·데이터,198,ArcGIS
2,IT개발·데이터,94,CPO
2,IT개발·데이터,95,DBA
2,IT개발·데이터,118,솔루션
2,IT개발·데이터,199,ASP
2,IT개발·데이터,200,ASP.NET
2,IT개발·데이터,96,FAE
2,IT개발·데이터,119,스크립트
2,IT개발·데이터,120,신경망
2,IT개발·데이터,201,AWS
2,IT개발·데이터,97,GM(게임운영)
2,IT개발·데이터,202,Azure
2,IT개발·데이터,98,IT컨설팅
2,IT개발·데이터,121,악성코드
2,IT개발·데이터,122,알고리즘
2,IT개발·데이터,203,Bootstrap
2,IT개발·데이터,99,QA/테스터
2,IT개발·데이터,204,C#
2,IT개발·데이터,100,SE(시스템엔지니어)
2,IT개발·데이터,123,영상처리
2,IT개발·데이터,124,웹표준·웹접근성
2,IT개발·데이터,205,C++
2,IT개발·데이터,101,SI개발
2,IT개발·데이터,102,ICT컨설팅
2,IT개발·데이터,125,음성인식
2,IT개발·데이터,206,C언어
2,IT개발·데이터,126,이미지프로세싱
2,IT개발·데이터,207,CentOS
2,IT개발·데이터,127,인프라
2,IT개발·데이터,208,COBOL
2,IT개발·데이터,209,CSS
2,IT개발·데이터,128,임베디드
2,IT개발·데이터,129,자율주행
2,IT개발·데이터,210,CSS3
2,IT개발·데이터,211,Delphi
2,IT개발·데이터,130,정보통신
2,IT개발·데이터,131,챗봇
2,IT개발·데이터,212,Directx
2,IT개발·데이터,132,취약점진단
2,IT개발·데이터,213,Django
2,IT개발·데이터,133,컴퓨터비전
2,IT개발·데이터,214,Docker
2,IT개발·데이터,134,크로스브라우징
2,IT개발·데이터,215,Eclipse
2,IT개발·데이터,216,ECMAScript
2,IT개발·데이터,135,크롤링
2,IT개발·데이터,136,클라우드
2,IT개발·데이터,217,ElasticStack
2,IT개발·데이터,218,Flask
2,IT개발·데이터,137,텍스트마이닝
2,IT개발·데이터,138,트러블슈팅
2,IT개발·데이터,219,FLEX
2,IT개발·데이터,220,Flutter
2,IT개발·데이터,139,펌웨어
2,IT개발·데이터,140,플러그인
2,IT개발·데이터,221,GCP
2,IT개발·데이터,141,핀테크
2,IT개발·데이터,222,Git
2,IT개발·데이터,142,API
2,IT개발·데이터,223,GoLang
2,IT개발·데이터,143,APM
2,IT개발·데이터,224,GraphQL
2,IT개발·데이터,225,Groovy
2,IT개발·데이터,144,AR(증강현실)
2,IT개발·데이터,145,DBMS
2,IT개발·데이터,226,Gulp
2,IT개발·데이터,227,Hadoop
2,IT개발·데이터,146,DevOps
2,IT개발·데이터,147,DLP
2,IT개발·데이터,228,HBase
2,IT개발·데이터,148,DW
2,IT개발·데이터,229,HTML
2,IT개발·데이터,149,ERP
2,IT개발·데이터,230,HTML5
2,IT개발·데이터,150,ETL
2,IT개발·데이터,231,IaaS
2,IT개발·데이터,232,iBATIS
2,IT개발·데이터,151,FPGA
2,IT개발·데이터,152,GIS
2,IT개발·데이터,233,Ionic
2,IT개발·데이터,234,iOS
2,IT개발·데이터,153,H/W
2,IT개발·데이터,154,IDC
2,IT개발·데이터,235,Java
2,IT개발·데이터,236,Javascript
2,IT개발·데이터,155,IIS
2,IT개발·데이터,156,IoT
2,IT개발·데이터,237,Jenkins
2,IT개발·데이터,157,ISMS
2,IT개발·데이터,238,JPA
2,IT개발·데이터,158,MCU
2,IT개발·데이터,239,jQuery
2,IT개발·데이터,159,Nginx
2,IT개발·데이터,240,JSP
2,IT개발·데이터,241,Kafka
2,IT개발·데이터,160,NLP(자연어처리)
2,IT개발·데이터,161,NLU(자연어이해)
2,IT개발·데이터,242,Keras
2,IT개발·데이터,243,Kotlin
2,IT개발·데이터,162,OCR
2,IT개발·데이터,163,OLAP
2,IT개발·데이터,244,Kubernetes
2,IT개발·데이터,164,RDBMS
2,IT개발·데이터,245,LabVIEW
2,IT개발·데이터,165,RPA
2,IT개발·데이터,246,Linux
2,IT개발·데이터,166,RTOS
2,IT개발·데이터,247,Logstash
2,IT개발·데이터,248,Lucene
2,IT개발·데이터,167,S/W
2,IT개발·데이터,168,SAP
2,IT개발·데이터,249,MacOS
2,IT개발·데이터,250,MariaDB
2,IT개발·데이터,169,SDK
2,IT개발·데이터,170,SOA
2,IT개발·데이터,251,Matlab
2,IT개발·데이터,252,Maven
2,IT개발·데이터,171,STT
2,IT개발·데이터,172,TTS
2,IT개발·데이터,253,MFC
2,IT개발·데이터,173,UTM
2,IT개발·데이터,254,MongoDB
2,IT개발·데이터,174,VDI
2,IT개발·데이터,255,MSSQL
2,IT개발·데이터,175,VMware
2,IT개발·데이터,256,MyBatis
2,IT개발·데이터,257,MySQL
2,IT개발·데이터,176,VoIP
2,IT개발·데이터,177,VPN
2,IT개발·데이터,258,Node.js
2,IT개발·데이터,259,NoSQL
2,IT개발·데이터,178,VR(가상현실)
2,IT개발·데이터,179,WCF
2,IT개발·데이터,260,Objective-C
2,IT개발·데이터,180,아키텍쳐
2,IT개발·데이터,261,OpenCV
2,IT개발·데이터,181,인공지능
2,IT개발·데이터,181,AI(인공지능)
2,IT개발·데이터,262,OpenGL
2,IT개발·데이터,182,Windows
2,IT개발·데이터,263,OracleDB
2,IT개발·데이터,264,OSS
2,IT개발·데이터,183,인터페이스
2,IT개발·데이터,265,PaaS
2,IT개발·데이터,266,Pandas
2,IT개발·데이터,267,Perl
2,IT개발·데이터,268,PHP
2,IT개발·데이터,269,PL/SQL
2,IT개발·데이터,270,PostgreSQL
2,IT개발·데이터,271,Pro-C
2,IT개발·데이터,272,Python
2,IT개발·데이터,273,Pytorch
2,IT개발·데이터,274,QGIS
2,IT개발·데이터,275,Qt
2,IT개발·데이터,276,R
2,IT개발·데이터,277,React
2,IT개발·데이터,278,React-Native
2,IT개발·데이터,279,ReactJS
2,IT개발·데이터,280,Redis
2,IT개발·데이터,281,Redux
2,IT개발·데이터,282,RestAPI
2,IT개발·데이터,283,Ruby
2,IT개발·데이터,284,SaaS
2,IT개발·데이터,285,SAS
2,IT개발·데이터,286,Scala
2,IT개발·데이터,287,Servlet
2,IT개발·데이터,288,Solaris
2,IT개발·데이터,289,Spark
2,IT개발·데이터,290,Splunk
2,IT개발·데이터,291,Spring
2,IT개발·데이터,292,SpringBoot
2,IT개발·데이터,293,SQL
2,IT개발·데이터,294,SQLite
2,IT개발·데이터,295,Storm
2,IT개발·데이터,296,Struts
2,IT개발·데이터,297,SVN
2,IT개발·데이터,298,Swift
2,IT개발·데이터,299,Sybase
2,IT개발·데이터,300,Tensorflow
2,IT개발·데이터,301,Tomcat
2,IT개발·데이터,302,TypeScript
2,IT개발·데이터,303,Ubuntu
2,IT개발·데이터,304,Unity
2,IT개발·데이터,305,Unix
2,IT개발·데이터,306,Unreal
2,IT개발·데이터,307,VB.NET
2,IT개발·데이터,308,Verilog
2,IT개발·데이터,309,Vert.x
2,IT개발·데이터,310,VisualBasic
2,IT개발·데이터,311,VisualC·C++
2,IT개발·데이터,312,Vue.js
2,IT개발·데이터,313,WAS
2,IT개발·데이터,314,WebGL
2,IT개발·데이터,315,Webpack
2,IT개발·데이터,316,WebRTC
2,IT개발·데이터,317,WPF
2,IT개발·데이터,318,XML
2,IT개발·데이터,319,아두이노
2,IT개발·데이터,320,임베디드리눅스